--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| PDO                                          | pdoLabel                                                                              | OOPS                                          | oopsLabel                                                           |
| <http://purl.obolibrary.org/obo/PDO_0000187> | "maize Sarocladium black bundle fungal disease"^^xsd:string                           | <http://purl.obolibrary.org/obo/OOPS_1003068> | "Cephalosporium kernel rot"                                         |
| <http://purl.obolibrary.org/obo/PDO_0000187> | "maize Sarocladium black bundle fungal disease"^^xsd:string                           | <http://purl.obolibrary.org/obo/OOPS_1003067> | "Black bundle disease"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000089> | "rice Athelia rolfsii seedling blight fungal disease"^^xsd:string                     | <http://purl.obolibrary.org/obo/OOPS_1002859> | "Seedling blight"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000234> | "maize Magnaporthiopsis late wilt fungal disease"^^xsd:string                         | <http://purl.obolibrary.org/obo/OOPS_1003110> | "Late wilt*"                                                        |
| <http://purl.obolibrary.org/obo/PDO_0000271> | "maize Fusarium culmorum minor ear rot fungal disease"^^xsd:string                    | <http://purl.obolibrary.org/obo/OOPS_1003081> | "Seed rot-seedling blight"                                          |
| <http://purl.obolibrary.org/obo/PDO_0000271> | "maize Fusarium culmorum minor ear rot fungal disease"^^xsd:string                    | <http://purl.obolibrary.org/obo/OOPS_1003080> | "Ear rots, minor"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000188> | "maize Aureobasidium eyespot fungal disease"^^xsd:string                              | <http://purl.obolibrary.org/obo/OOPS_1002955> | "Eyespot"                                                           |
| <http://purl.obolibrary.org/obo/PDO_0000188> | "maize Aureobasidium eyespot fungal disease"^^xsd:string                              | <http://purl.obolibrary.org/obo/OOPS_1002956> | "Eyespot"                                                           |
| <http://purl.obolibrary.org/obo/PDO_0000264> | "maize Curvularia lunata leaf spot fungal disease"^^xsd:string                        | <http://purl.obolibrary.org/obo/OOPS_1003076> | "Curvularia leaf spot"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000264> | "maize Curvularia lunata leaf spot fungal disease"^^xsd:string                        | <http://purl.obolibrary.org/obo/OOPS_1003075> | "Curvularia leaf spot"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000224> | "maize Sclerophthora crazy top downy mildew fungal disease"^^xsd:string               | <http://purl.obolibrary.org/obo/OOPS_1003055> | "Crazy top downy mildew"                                            |
| <http://purl.obolibrary.org/obo/PDO_0000208> | "maize Pythium stalk rot fungal disease"^^xsd:string                                  | <http://purl.obolibrary.org/obo/OOPS_1003100> | "Pythium stalk rot"                                                 |
| <http://purl.obolibrary.org/obo/PDO_0000199> | "maize Claviceps ergot fungal disease"^^xsd:string                                    | <http://purl.obolibrary.org/obo/OOPS_1003117> | "Ergot* (horse's tooth, diente de caballo)"                         |
| <http://purl.obolibrary.org/obo/PDO_0000202> | "maize Cochliobolus pallescens minor ear rot fungal disease"^^xsd:string              | <http://purl.obolibrary.org/obo/OOPS_1003002> | "Curvularia leaf spot"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000202> | "maize Cochliobolus pallescens minor ear rot fungal disease"^^xsd:string              | <http://purl.obolibrary.org/obo/OOPS_1003001> | "Curvularia leaf spot"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000202> | "maize Cochliobolus pallescens minor ear rot fungal disease"^^xsd:string              | <http://purl.obolibrary.org/obo/OOPS_1003003> | "Ear rots, minor"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000273> | "maize Pithomyces maydicus minor ear rot fungal disease"^^xsd:string                  | <http://purl.obolibrary.org/obo/OOPS_1002953> | "Ear rots, minor"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000177> | "maize Colletotrichum graminicola Anthracnose stalk rot fungal disease"^^xsd:string   | <http://purl.obolibrary.org/obo/OOPS_1003000> | "Anthracnose leaf blight and anthracnose stalk rot"                 |
