	iri	iri_label	pathogen	pathogen_label	host	host_label	plantstructure	plantstructure_label
175	OOPS:xxxxxxx	P. versicolor Speg. Pestalotia versicolor Speg. of Persea americana Miller	NCBITaxon:63205	Pestalotia versicolor Speg.	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
176	OOPS:xxxxxxx	Phomopsis perseae Zerova of Persea americana Miller	NCBITaxon:1494841	Phomopsis perseae Zerova	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
177	OOPS:xxxxxxx	Rhizopus stolonifer of Persea americana Miller	NCBITaxon:1274793	Rhizopus stolonifer (Ehrenb.	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
179	OOPS:xxxxxxx	Sclerotinia sclerotiorum of Persea americana Miller	NCBITaxon:1095762	Sclerotinia sclerotiorum (Lib.) de Bary	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
180	OOPS:xxxxxxx	#NAME? Sclerotinia libertiana Fuckel of Persea americana Miller	NCBITaxon:5179	Sclerotinia libertiana Fuckel	NCBITaxon:3435	Persea americana Miller	http://purl.obolibrary.org/obo/PO_0009001	fruit
182	OOPS:xxxxxxx	 Chalara paradoxa of Musa spp.	NCBITaxon:301394	Chalara paradoxa (De Seynes) Sacc.	NCBITaxon:485396	Musa spp.	http://purl.obolibrary.org/obo/PO_0009001	fruit
184	OOPS:xxxxxxx	Guignardia musae Racib. of Musa spp.	NCBITaxon:55180	Guignardia musae Racib.	NCBITaxon:485396	Musa spp.	http://purl.obolibrary.org/obo/PO_0009001	fruit
185	OOPS:xxxxxxx	 Phyllosticta musarum of Musa spp.	NCBITaxon:1236105	Phyllosticta musarum (Cooke) Aa	NCBITaxon:485396	Musa spp.	http://purl.obolibrary.org/obo/PO_0009001	fruit
187	OOPS:xxxxxxx	Sclerotinia sclerotiorum of Musa spp.	NCBITaxon:1095762	Sclerotinia sclerotiorum (Lib.) de Bary	NCBITaxon:485396	Musa spp.	http://purl.obolibrary.org/obo/PO_0009001	fruit
188	OOPS:xxxxxxx	Botrytis cinerea Pers.:F of Rubus spp.	NCBITaxon:1290391	Botrytis cinerea Pers.	NCBITaxon:1546379	Rubus spp.	http://purl.obolibrary.org/obo/PO_0009001	fruit
191	OOPS:xxxxxxx	Alternaria spp. of Rubus spp.	NCBITaxon:1551618	Alternaria spp.	NCBITaxon:1546379	Rubus spp.	http://purl.obolibrary.org/obo/PO_0009001	fruit
192	OOPS:xxxxxxx	Cladosporium spp. of Rubus spp.	NCBITaxon:668271	Cladosporium spp.	NCBITaxon:1546379	Rubus spp.	http://purl.obolibrary.org/obo/PO_0009001	fruit
