defined_class	defined_class label	pathogen	pathogen label	host	host label	plantstructure	plantstructure label	synonyms
PSO:0000077	Clavibacter michiganensis subsp. insidiosus Bacterial wilt of Medicago sativa L.	NCBITaxon:28447	Clavibacter michiganensis subsp. insidiosus (McCulloch) Davis et al. (syn. Clavibacter michiganense subsp. insidiosum (McCull.) Davis et al.)	NCBITaxon:36902	Medicago sativa L.	PO:0000003	whole plant	Clavibacter michiganensis subsp. insidiosus Bacterial wilt of Medicago sativa L.|Bacterial wilt
PSO:0000078	Agrobacterium tumefaciens Crown gall of Medicago sativa L.	NCBITaxon:1454226	Agrobacterium tumefaciens (Smith & Townsend) Conn	NCBITaxon:36902	Medicago sativa L.	PO:0000003	whole plant	Agrobacterium tumefaciens Crown gall of Medicago sativa L.|Crown gall
PSO:0000079	Xylella fastidiosa subsp. fastidiosa Wells et al. 1987 Dwarf of Medicago sativa L.	NCBITaxon:1453499	Xylella fastidiosa subsp. fastidiosa Wells et al. 1987	NCBITaxon:36902	Medicago sativa L.	PO:0000003	whole plant	Xylella fastidiosa subsp. fastidiosa Wells et al. 1987 Dwarf of Medicago sativa L.|Dwarf
PSO:0000080	Dickeya Sprout rot of Medicago sativa L.	NCBITaxon:204037	Dickeya   (syn. Erwinia chrysanthemi Burkholder et al. 1953) (syn. Erwinia herbicola (Löhnis 1911) Dye 1964)	NCBITaxon:36902	Medicago sativa L.	PO:0000003	whole plant	Dickeya Sprout rot of Medicago sativa L.|Sprout rot
PSO:0000081	Pantoea agglomerans Sprout rot of Medicago sativa L.	NCBITaxon:1654067	Pantoea agglomerans (Ewing and Fife 1972) Gavini et al. 1989	NCBITaxon:36902	Medicago sativa L.	PO:0000003	whole plant	Pantoea agglomerans Sprout rot of Medicago sativa L.|Sprout rot
PSO:0000082	Acrocalymma medicaginis Alcorn & J. A. G. Irwin Acrocalymma root and crown rot of Medicago sativa L.	NCBITaxon:1589763	Acrocalymma medicaginis Alcorn & J. A. G. Irwin	NCBITaxon:36902	Medicago sativa L.	PO:0009005	root	Acrocalymma medicaginis Alcorn & J. A. G. Irwin Acrocalymma root and crown rot of Medicago sativa L.|Acrocalymma root and crown rot
PSO:0000083	Colletotrichum trifolii Bain Anthracnose of Medicago sativa L.	NCBITaxon:5466	Colletotrichum trifolii Bain	NCBITaxon:36902	Medicago sativa L.	PO:0000003	whole plant	Colletotrichum trifolii Bain Anthracnose of Medicago sativa L.|Anthracnose
PSO:0000084	Colletotrichum destructivum O’Gara Anthracnose of Medicago sativa L.	NCBITaxon:1473215	Colletotrichum destructivum O’Gara (syn. Colletotrichum dematium f. sp. truncatum (Schwein.) Arx)	NCBITaxon:36902	Medicago sativa L.	PO:0000003	whole plant	Colletotrichum destructivum O’Gara Anthracnose of Medicago sativa L.|Anthracnose
PSO:0000085	Colletotrichum gloeosporioides Anthracnose of Medicago sativa L.	NCBITaxon:1215364	Colletotrichum gloeosporioides (Penz.) Penz. & Sacc.	NCBITaxon:36902	Medicago sativa L.	PO:0000003	whole plant	Colletotrichum gloeosporioides Anthracnose of Medicago sativa L.|Anthracnose
PSO:0000086	Colletotrichum truncatum Anthracnose of Medicago sativa L.	NCBITaxon:5467	Colletotrichum truncatum (Schwein.) Andrus & W. D. Moore	NCBITaxon:36902	Medicago sativa L.	PO:0000003	whole plant	Colletotrichum truncatum Anthracnose of Medicago sativa L.|Anthracnose
PSO:0000087	Rhizoctonia leguminicola Gough & E. S. Elliott Blackpatch of Medicago sativa L.	NCBITaxon:992430	Rhizoctonia leguminicola Gough & E. S. Elliott	NCBITaxon:36902	Medicago sativa L.	PO:0000003	whole plant	Rhizoctonia leguminicola Gough & E. S. Elliott Blackpatch of Medicago sativa L.|Blackpatch
PSO:0000088	Botrytis cinerea Pers. Blossom blight of Medicago sativa L.	NCBITaxon:1290391	Botrytis cinerea Pers.	NCBITaxon:36902	Medicago sativa L.	PO:0009047	stem	Botrytis cinerea Pers. Blossom blight of Medicago sativa L.|Blossom blight (crown rot and stem rot)
PSO:0000089	Sclerotinia sclerotiorum Blossom blight of Medicago sativa L.	NCBITaxon:1095762	Sclerotinia sclerotiorum (Lib.) de Bary	NCBITaxon:36902	Medicago sativa L.	PO:0009047	stem	Sclerotinia sclerotiorum Blossom blight of Medicago sativa L.|Sclerotinia sclerotiorum Sclerotinia crown and stem rot of Medicago sativa L.|Blossom blight (crown rot and stem rot)|Sclerotinia crown and stem rot
